name,id,cmc,type,subtype,text,power,toughness
Demolish,754,4,Sorcery,None,Destroy target artifact or land.,-999,-999
Talara's Battalion,755,2,Creature,ElfWarrior,Cast this spell only if you've cast another green spell this turn. Trample,4,3
Colossal Dreadmaw,756,6,Creature,Dinosaur,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),6,6
Zuran Orb,757,0,Artifact,None,Sacrifice a land: You gain 2 life.,-999,-999
Azorius First-Wing,758,2,Creature,Griffin,"Flying, protection from enchantments",2,2
Reya Dawnbringer,759,9,LegendaryCreature,Angel,"Flying At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.",4,6
Ogre Jailbreaker,760,4,Creature,OgreRogue,Defender Ogre Jailbreaker can attack as though it didn't have defender as long as you control a Gate.,4,4
Outrage Shaman,761,5,Creature,GoblinShaman,"Chroma — When Outrage Shaman enters the battlefield, it deals damage to target creature equal to the number of red mana symbols in the mana costs of permanents you control.",2,2
"Illuna, Apex of Wishes",762,5,LegendaryCreature,BeastElementalDinosaur,"Mutate {3}{R/G}{U}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flying, trample Whenever this creature mutates, exile cards from the top of your library until you exile a nonland permanent card. Put that card onto the battlefield or into your hand.",6,6
Psychic Rebuttal,763,2,Instant,None,"Counter target instant or sorcery spell that targets you. Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you may copy the spell countered this way. You may choose new targets for the copy.",-999,-999
Chittering Rats,764,3,Creature,Rat,"When Chittering Rats enters the battlefield, target opponent puts a card from their hand on top of their library.",2,2
Cavalier of Gales,765,5,Creature,ElementalKnight,"Flying When Cavalier of Gales enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order. When Cavalier of Gales dies, shuffle it into its owner's library, then scry 2.",5,5
Brightstone Ritual,767,1,Instant,None,Add {R} for each Goblin on the battlefield.,-999,-999
Sturdy Hatchling,768,4,Creature,Elemental,"Sturdy Hatchling enters the battlefield with four -1/-1 counters on it. {G/U}: Sturdy Hatchling gains shroud until end of turn. (It can't be the target of spells or abilities.) Whenever you cast a green spell, remove a -1/-1 counter from Sturdy Hatchling. Whenever you cast a blue spell, remove a -1/-1 counter from Sturdy Hatchling.",6,6
Panacea,769,4,Artifact,None,"{X}{X}, {T}: Prevent the next X damage that would be dealt to any target this turn.",-999,-999
Dwell on the Past,770,1,Sorcery,None,Target player shuffles up to four target cards from their graveyard into their library.,-999,-999
Commander Greven il-Vec,771,6,LegendaryCreature,HumanWarrior,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) When Commander Greven il-Vec enters the battlefield, sacrifice a creature.",7,5
Undead Slayer,772,3,Creature,HumanCleric,"{W}, {T}: Exile target Skeleton, Vampire, or Zombie.",2,2
Phyrexian Grimoire,773,3,Artifact,None,"{4}, {T}: Target opponent chooses one of the top two cards of your graveyard. Exile that card and put the other one into your hand.",-999,-999
Increasing Ambition,774,5,Sorcery,None,"Search your library for a card and put that card into your hand. If this spell was cast from a graveyard, instead search your library for two cards and put those cards into your hand. Then shuffle your library. Flashback {7}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",-999,-999
Blessing of the Nephilim,775,1,Enchantment,Aura,Enchant creature Enchanted creature gets +1/+1 for each of its colors.,-999,-999
Staggering Insight,776,2,Enchantment,Aura,"Enchant creature Enchanted creature gets +1/+1 and has lifelink and ""Whenever this creature deals combat damage to a player, draw a card.""",-999,-999
Rumbling Rockslide,777,4,Sorcery,None,Rumbling Rockslide deals damage to target creature equal to the number of lands you control.,-999,-999
Shining Armor,778,2,Artifact,Equipment,"Flash When Shining Armor enters the battlefield, attach it to target Knight you control. Equipped creature gets +0/+2 and has vigilance. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",-999,-999
Unholy Strength,779,1,Enchantment,Aura,Enchant creature Enchanted creature gets +2/+1.,-999,-999
Soldier,780,0,TokenCreature,Soldier,Defender,1,2
Tuinvale Treefolk // Oaken Boon,781,6,Creature,TreefolkDruid//Sorcery,None,6,5
"Silvar, Devourer of the Free",782,5,LegendaryCreature,CatNightmare,"Partner with Trynn, Champion of Freedom (When this creature enters the battlefield, target player may put Trynn into their hand from their library, then shuffle.) Menace Sacrifice a Human: Put a +1/+1 counter on Silvar, Devourer of the Free. It gains indestructible until end of turn.",4,2
Rathi Trapper,783,2,Creature,HumanRebelRogue,"{B}, {T}: Tap target creature.",1,2
Mogg Salvage,784,3,Instant,None,"If an opponent controls an Island and you control a Mountain, you may cast this spell without paying its mana cost. Destroy target artifact.",-999,-999
Prodigal Sorcerer Avatar,785,0,Vanguard,None,"At the beginning of your upkeep, look at the top card of your library. You may put that card into your graveyard.",-999,-999
Take Down,786,1,Sorcery,None,Choose one — • Take Down deals 4 damage to target creature with flying. • Take Down deals 1 damage to each creature with flying.,-999,-999
"Neheb, the Worthy",787,3,LegendaryCreature,MinotaurWarrior,"First strike Other Minotaurs you control have first strike. As long as you have one or fewer cards in hand, Minotaurs you control get +2/+0. Whenever Neheb, the Worthy deals combat damage to a player, each player discards a card.",2,2
Swift Warden,788,3,Creature,MerfolkWarrior,"Flash When Swift Warden enters the battlefield, target Merfolk you control gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)",3,3
Orcish Squatters Avatar,789,0,Vanguard,None,"At the beginning of your precombat main phase, add {C} for each land target opponent controls.",-999,-999
"Angrath, the Flame-Chained",790,5,LegendaryPlaneswalker,Angrath,+1: Each opponent discards a card and loses 2 life. −3: Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. Sacrifice it at the beginning of the next end step if it has converted mana cost 3 or less. −8: Each opponent loses life equal to the number of cards in their graveyard.,-999,-999
Rune of Protection: Blue,791,2,Enchantment,None,"{W}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)",-999,-999
Baleful Eidolon,793,2,EnchantmentCreature,Spirit,"Bestow {4}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) Enchanted creature gets +1/+1 and has deathtouch.",1,1
Deadly Grub,794,3,Creature,Insect,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.) When Deadly Grub dies, if it had no time counters on it, create a 6/1 green Insect creature token with shroud. (It can't be the target of spells or abilities.)",3,1
Infectious Horror,795,4,Creature,ZombieHorror,"Whenever Infectious Horror attacks, each opponent loses 2 life.",2,2
Dwarven Miner,796,2,Creature,Dwarf,"{2}{R}, {T}: Destroy target nonbasic land.",1,2
Metallurgeon,797,2,ArtifactCreature,HumanArtificer,"{W}, {T}: Regenerate target artifact.",1,2
Verdant Haven,798,3,Enchantment,Aura,"Enchant land When Verdant Haven enters the battlefield, you gain 2 life. Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.",-999,-999
Elephant Ambush,799,4,Instant,None,Create a 3/3 green Elephant creature token. Flashback {6}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),-999,-999
Robe of Mirrors,800,1,Enchantment,Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has shroud. (It can't be the target of spells or abilities.),-999,-999
Ghostfire Blade,801,1,Artifact,Equipment,Equipped creature gets +2/+2. Equip {3} Ghostfire Blade's equip ability costs {2} less to activate if it targets a colorless creature.,-999,-999
Metathran Aerostat,802,4,Creature,Metathran,"Flying {X}{U}: You may put a creature card with converted mana cost X from your hand onto the battlefield. If you do, return Metathran Aerostat to its owner's hand.",2,2
Rapacious Dragon,803,5,Creature,Dragon,"Flying When Rapacious Dragon enters the battlefield, create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",3,3
Vault of Whispers,804,0,Artifact Land,None,(Vault of Whispers isn't a spell.) {T}: Add {B}.,-999,-999
Elvish Bard,805,5,Creature,ElfShaman,All creatures able to block Elvish Bard do so.,2,4
Nacatl Hunt-Pride,806,6,Creature,CatWarrior,"Vigilance {R}, {T}: Target creature can't block this turn. {G}, {T}: Target creature blocks this turn if able.",5,4
Ashnod,807,0,Vanguard,None,"Whenever a creature deals damage to you, destroy it.",-999,-999
Phantom Nantuko,808,3,Creature,InsectSpirit,"Trample Phantom Nantuko enters the battlefield with two +1/+1 counters on it. If damage would be dealt to Phantom Nantuko, prevent that damage. Remove a +1/+1 counter from Phantom Nantuko. {T}: Put a +1/+1 counter on Phantom Nantuko.",0,0
Kavu Primarch,809,4,Creature,Kavu,"Kicker {4} (You may pay an additional {4} as you cast this spell.) Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) If Kavu Primarch was kicked, it enters the battlefield with four +1/+1 counters on it.",3,3
"Melek, Izzet Paragon",810,6,LegendaryCreature,WeirdWizard,"Play with the top card of your library revealed. You may cast instant and sorcery spells from the top of your library. Whenever you cast an instant or sorcery spell from your library, copy it. You may choose new targets for the copy.",2,4
Pyroclast Consul,811,5,Creature,ElementalShaman,"Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Pyroclast Consul, you may reveal it. If you do, Pyroclast Consul deals 2 damage to each creature.",3,3
Squee's Embrace,812,2,Enchantment,Aura,"Enchant creature Enchanted creature gets +2/+2. When enchanted creature dies, return that card to its owner's hand.",-999,-999
"Najeela, the Blade-Blossom",813,3,LegendaryCreature,HumanWarrior,"Whenever a Warrior attacks, you may have its controller create a 1/1 white Warrior creature token that's tapped and attacking. {W}{U}{B}{R}{G}: Untap all attacking creatures. They gain trample, lifelink, and haste until end of turn. After this phase, there is an additional combat phase. Activate this ability only during combat.",3,2
Krark-Clan Engineers,814,4,Creature,GoblinArtificer,"{R}, Sacrifice two artifacts: Destroy target artifact.",2,2
Orzhov Cluestone,815,3,Artifact,None,"{T}: Add {W} or {B}. {W}{B}, {T}, Sacrifice Orzhov Cluestone: Draw a card.",-999,-999
Mad Dog,816,2,Creature,Dog,"At the beginning of your end step, if Mad Dog didn't attack or come under your control this turn, sacrifice it.",2,2
Whirling Catapult,817,4,Artifact,None,"{2}, Exile the top two cards of your library: Whirling Catapult deals 1 damage to each creature with flying and each player.",-999,-999
Whipgrass Entangler,818,3,Creature,HumanCleric,"{1}{W}: Until end of turn, target creature gains ""This creature can't attack or block unless its controller pays {1} for each Cleric on the battlefield.""",1,3
Rusted Slasher,819,4,ArtifactCreature,Horror,Sacrifice an artifact: Regenerate Rusted Slasher.,4,1
Havoc Sower,820,4,Creature,EldraziDrone,Devoid (This card has no color.) {1}{C}: Havoc Sower gets +2/+1 until end of turn. ({C} represents colorless mana.),3,3
Flint Golem,821,4,ArtifactCreature,Golem,"Whenever Flint Golem becomes blocked, defending player mills three cards.",2,3
Deputized Protester,822,3,Creature,HumanWarrior,"Menace (This creature can't be blocked except by two or more creatures.) Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)",2,1
Magma Rift,824,3,Sorcery,None,"As an additional cost to cast this spell, sacrifice a land. Magma Rift deals 5 damage to target creature.",-999,-999
Owl Familiar,825,2,Creature,Bird,"Flying When Owl Familiar enters the battlefield, draw a card, then discard a card.",1,1
Agent of Stromgald,826,1,Creature,HumanKnight,{R}: Add {B}.,1,1
Natural Affinity,827,3,Instant,None,All lands become 2/2 creatures until end of turn. They're still lands.,-999,-999
Your Will Is Not Your Own,828,0,Scheme,None,"When you set this scheme in motion, gain control of target creature an opponent controls until end of turn. Untap that creature. It gets +3/+3 and gains trample and haste until end of turn.",-999,-999
Wasteland,829,0,Land,None,"{T}: Add {C}. {T}, Sacrifice Wasteland: Destroy target nonbasic land.",-999,-999
Apathy,830,1,Enchantment,Aura,"Enchant creature Enchanted creature doesn't untap during its controller's untap step. At the beginning of the upkeep of enchanted creature's controller, that player may discard a card at random. If the player does, untap that creature.",-999,-999
Voltaic Key,831,1,Artifact,None,"{1}, {T}: Untap target artifact.",-999,-999
Chime of Night,832,2,Enchantment,Aura,"Enchant creature When Chime of Night is put into a graveyard from the battlefield, destroy target nonblack creature.",-999,-999
Caged Sun,833,6,Artifact,None,"As Caged Sun enters the battlefield, choose a color. Creatures you control of the chosen color get +1/+1. Whenever a land's ability causes you to add one or more mana of the chosen color, add one additional mana of that color.",-999,-999
Shimian Night Stalker,834,5,Creature,Nightstalker,"{B}, {T}: All damage that would be dealt to you this turn by target attacking creature is dealt to Shimian Night Stalker instead.",4,4
Cloudkin Seer,836,3,Creature,ElementalWizard,"Flying When Cloudkin Seer enters the battlefield, draw a card.",2,1
Abbot of Keral Keep,837,2,Creature,HumanMonk,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.",2,1
Rotting Giant,838,2,Creature,ZombieGiant,"Whenever Rotting Giant attacks or blocks, sacrifice it unless you exile a card from your graveyard.",3,3
Andradite Leech,839,3,Creature,Leech,Black spells you cast cost {B} more to cast. {B}: Andradite Leech gets +1/+1 until end of turn.,2,2
Nucklavee,840,6,Creature,Beast,"When Nucklavee enters the battlefield, you may return target red sorcery card from your graveyard to your hand. When Nucklavee enters the battlefield, you may return target blue instant card from your graveyard to your hand.",4,4
Aven Shrine,841,3,Enchantment,None,"Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.",-999,-999
Nimble-Blade Khenra,842,2,Creature,JackalWarrior,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",1,3
Sphere of Resistance,843,2,Artifact,None,Spells cost {1} more to cast.,-999,-999
Eyeblight Assassin,844,3,Creature,ElfAssassin,"When Eyeblight Assassin enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.",2,2
Lagonna-Band Trailblazer,845,1,Creature,CentaurScout,"Heroic — Whenever you cast a spell that targets Lagonna-Band Trailblazer, put a +1/+1 counter on Lagonna-Band Trailblazer.",0,4
Stalwart Aven,846,3,Creature,BirdSoldier,"Flying (This creature can't be blocked except by creatures with flying or reach.) Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)",1,3
Austere Command,847,6,Sorcery,None,Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with converted mana cost 3 or less. • Destroy all creatures with converted mana cost 4 or greater.,-999,-999
Phage the Untouchable,848,7,LegendaryCreature,AvatarMinion,"When Phage the Untouchable enters the battlefield, if you didn't cast it from your hand, you lose the game. Whenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated. Whenever Phage deals combat damage to a player, that player loses the game.",4,4
Misty Rainforest,849,0,Land,None,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle your library.",-999,-999
Ghost Ship,850,4,Creature,Spirit,Flying {U}{U}{U}: Regenerate Ghost Ship.,2,4
Iron Lance,851,2,Artifact,None,"{3}, {T}: Target creature gains first strike until end of turn.",-999,-999
Woodland Guidance,852,4,Sorcery,None,"Return target card from your graveyard to your hand. Clash with an opponent. If you win, untap all Forests you control. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.) Exile Woodland Guidance.",-999,-999
Benalish Heralds,853,4,Creature,HumanSoldier,"{3}{U}, {T}: Draw a card.",2,4
Dead Drop,854,10,Sorcery,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.) Target player sacrifices two creatures.,-999,-999
Dread,855,6,Creature,ElementalIncarnation,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever a creature deals damage to you, destroy it. When Dread is put into a graveyard from anywhere, shuffle it into its owner's library.",6,6
Secluded Glen,856,0,Land,None,"As Secluded Glen enters the battlefield, you may reveal a Faerie card from your hand. If you don't, Secluded Glen enters the battlefield tapped. {T}: Add {U} or {B}.",-999,-999
Punish the Enemy,857,5,Instant,None,Punish the Enemy deals 3 damage to target player or planeswalker and 3 damage to target creature.,-999,-999
Sunder from Within,858,4,Sorcery,Arcane,Destroy target artifact or land.,-999,-999
"Korlash, Heir to Blackblade",859,4,LegendaryCreature,ZombieWarrior,"Korlash, Heir to Blackblade's power and toughness are each equal to the number of Swamps you control. {1}{B}: Regenerate Korlash. Grandeur — Discard another card named Korlash, Heir to Blackblade: Search your library for up to two Swamp cards, put them onto the battlefield tapped, then shuffle your library.",*,*
Capricious Sorcerer,860,3,Creature,HumanWizard,"{T}: Capricious Sorcerer deals 1 damage to any target. Activate this ability only during your turn, before attackers are declared.",1,1
Gravecrawler,861,1,Creature,Zombie,Gravecrawler can't block. You may cast Gravecrawler from your graveyard as long as you control a Zombie.,2,1
Rock Jockey,862,3,Creature,Goblin,You can't cast this spell if you've played a land this turn. You can't play lands if you've cast Rock Jockey this turn.,3,3
"Sorin, Grim Nemesis",863,6,LegendaryPlaneswalker,Sorin,"+1: Reveal the top card of your library and put that card into your hand. Each opponent loses life equal to its converted mana cost. −X: Sorin, Grim Nemesis deals X damage to target creature or planeswalker and you gain X life. −9: Create a number of 1/1 black Vampire Knight creature tokens with lifelink equal to the highest life total among all players.",-999,-999
Rakdos Carnarium,864,0,Land,None,"Rakdos Carnarium enters the battlefield tapped. When Rakdos Carnarium enters the battlefield, return a land you control to its owner's hand. {T}: Add {B}{R}.",-999,-999
Ol' Buzzbark,865,2,LegendaryCreature,GoblinWarrior,"When Ol' Buzzbark enters the battlefield, roll X six-sided dice onto the battlefield from a height of at least X inches. For each die, put a number of +1/+1 counters equal to the result on each creature you control that die is touching. For each die, Ol' Buzzbark deals damage equal to the result to each creature an opponent controls that die is touching.",3,3
"Tymaret, the Murder King",866,2,LegendaryCreature,ZombieWarrior,"{1}{R}, Sacrifice another creature: Tymaret, the Murder King deals 2 damage to target player or planeswalker. {1}{B}, Sacrifice a creature: Return Tymaret from your graveyard to your hand.",2,2
Volatile Claws,867,3,Instant,None,"Until end of turn, creatures you control get +2/+0 and gain all creature types.",-999,-999
Detention Sphere,868,3,Enchantment,None,"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent. When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control.",-999,-999
Titan's Revenge,869,2,Sorcery,None,"Titan's Revenge deals X damage to any target. Clash with an opponent. If you win, return Titan's Revenge to its owner's hand. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.)",-999,-999
Extinction Event,870,4,Sorcery,None,Choose odd or even. Exile each creature with converted mana cost of the chosen value. (Zero is even.),-999,-999
Scourge of Valkas,871,5,Creature,Dragon,"Flying Whenever Scourge of Valkas or another Dragon enters the battlefield under your control, it deals X damage to any target, where X is the number of Dragons you control. {R}: Scourge of Valkas gets +1/+0 until end of turn.",4,4
Wrecking Ball,873,4,Instant,None,Destroy target creature or land.,-999,-999
Bant Panorama,874,0,Land,None,"{T}: Add {C}. {1}, {T}, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped. Then shuffle your library.",-999,-999
Nevermore,875,3,Enchantment,None,"As Nevermore enters the battlefield, choose a nonland card name. Spells with the chosen name can't be cast.",-999,-999
Wildest Dreams,876,1,Sorcery,None,Return X target cards from your graveyard to your hand. Exile Wildest Dreams.,-999,-999
Leeches,877,3,Sorcery,None,Target player loses all poison counters. Leeches deals that much damage to that player.,-999,-999
Sungrass Prairie,878,0,Land,None,"{1}, {T}: Add {G}{W}.",-999,-999
Living Totem,879,4,Creature,PlantElemental,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When Living Totem enters the battlefield, you may put a +1/+1 counter on another target creature.",2,3
Footbottom Feast,880,3,Instant,None,Put any number of target creature cards from your graveyard on top of your library. Draw a card.,-999,-999
Rules Lawyer,881,5,ArtifactCreature,CyborgAdvisor,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",1,1
Expedition Raptor,882,5,Creature,Bird,"Flying When Expedition Raptor enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",2,2
Skarrgan Skybreaker,883,7,Creature,GiantShaman,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.) {1}, Sacrifice Skarrgan Skybreaker: It deals damage equal to its power to any target.",3,3
Selesnya Loft Gardens,884,0,Plane,Ravnica,"If an effect would create one or more tokens, it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent, it puts twice that many of those counters on that permanent instead. Whenever you roll {CHAOS}, until end of turn, whenever you tap a land for mana, add one mana of any type that land produced.",-999,-999
Rally for the Throne,885,3,Instant,None,"Create two 1/1 white Human creature tokens. Adamant — If at least three white mana was spent to cast this spell, you gain 1 life for each creature you control.",-999,-999
Adaptive Snapjaw,886,5,Creature,LizardBeast,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",6,2
River's Favor,887,1,Enchantment,Aura,Enchant creature Enchanted creature gets +1/+1.,-999,-999
Starved Rusalka,888,1,Creature,Spirit,"{G}, Sacrifice a creature: You gain 1 life.",1,1
Ogre Slumlord,889,5,Creature,OgreRogue,"Whenever another nontoken creature dies, you may create a 1/1 black Rat creature token. Rats you control have deathtouch.",3,3
Rustmouth Ogre,890,6,Creature,Ogre,"Whenever Rustmouth Ogre deals combat damage to a player, you may destroy target artifact that player controls.",5,4
Shimmering Glasskite,891,4,Creature,Spirit,"Flying Whenever Shimmering Glasskite becomes the target of a spell or ability for the first time each turn, counter that spell or ability.",2,3
Pyre Hound,892,4,Creature,ElementalDog,"Trample Whenever you cast an instant or sorcery spell, put a +1/+1 counter on Pyre Hound.",2,3
Vintara Elephant,893,5,Creature,Elephant,Trample {3}: Vintara Elephant loses trample until end of turn. Any player may activate this ability.,4,3
Daring Fiendbonder,894,4,Creature,HumanWarlock,"Haste Daring Fiendbonder attacks each combat if able. {1}{B}, Exile Daring Fiendbonder from your graveyard: Put an indestructible counter on target creature. Activate this ability only any time you could cast a sorcery.",5,1
Pollywog Symbiote,895,2,Creature,Frog,"Each creature spell you cast costs {1} less to cast if it has mutate. Whenever you cast a creature spell, if it has mutate, draw a card, then discard a card.",1,3
Everflowing Chalice,896,0,Artifact,None,Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.) Everflowing Chalice enters the battlefield with a charge counter on it for each time it was kicked. {T}: Add {C} for each charge counter on Everflowing Chalice.,-999,-999
Sentinel's Eyes,897,1,Enchantment,Aura,"Enchant creature Enchanted creature gets +1/+1 and has vigilance. Escape—{W}, Exile two other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",-999,-999
Markov Crusader,898,5,Creature,VampireKnight,Lifelink Markov Crusader has haste as long as you control another Vampire.,4,3
Fungal Plots,899,2,Enchantment,None,"{1}{G}, Exile a creature card from your graveyard: Create a 1/1 green Saproling creature token. Sacrifice two Saprolings: You gain 2 life and draw a card.",-999,-999
Keral Keep Disciples,900,4,Creature,HumanMonk,"Whenever you activate a loyalty ability of a Chandra planeswalker, Keral Keep Disciples deals 1 damage to each opponent.",4,3
Mind Drain,901,3,Sorcery,None,"Target opponent discards two cards, mills a card, and loses 1 life. You gain 1 life. (To mill a card, a player puts the top card of their library into their graveyard.)",-999,-999
Fatigue,902,2,Sorcery,None,Target player skips their next draw step.,-999,-999
Slaughter-Priest of Mogis,903,2,Creature,MinotaurShaman,"Whenever you sacrifice a permanent, Slaughter-Priest of Mogis gets +2/+0 until end of turn. {2}, Sacrifice another creature or an enchantment: Slaughter-Priest of Mogis gains first strike until end of turn.",2,2
Aether Tunnel,904,2,Enchantment,Aura,Enchant creature Enchanted creature gets +1/+0 and can't be blocked.,-999,-999
Cast Through Time,905,7,Enchantment,None,"Instant and sorcery spells you control have rebound. (Exile the spell as it resolves if you cast it from your hand. At the beginning of your next upkeep, you may cast that card from exile without paying its mana cost.)",-999,-999
Abzan Runemark,906,3,Enchantment,Aura,Enchant creature Enchanted creature gets +2/+2. Enchanted creature has vigilance as long as you control a black or green permanent.,-999,-999
Incite Hysteria,907,3,Sorcery,None,"Radiance — Until end of turn, target creature and each other creature that shares a color with it gain ""This creature can't block.""",-999,-999
Steam Augury,908,4,Instant,None,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.,-999,-999
Keldon Vandals,909,3,Creature,HumanRogue,"Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When Keldon Vandals enters the battlefield, destroy target artifact.",4,1
Omen of the Dead,910,1,Enchantment,None,"Flash When Omen of the Dead enters the battlefield, return target creature card from your graveyard to your hand. {2}{B}, Sacrifice Omen of the Dead: Scry 2.",-999,-999
Gravel Slinger,911,4,Creature,HumanSoldier,{T}: Gravel Slinger deals 1 damage to target attacking or blocking creature. Morph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),1,3
Willbender,912,2,Creature,HumanWizard,"Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Willbender is turned face up, change the target of target spell or ability with a single target.",1,2
Centaur Rootcaster,913,4,Creature,CentaurDruid,"Whenever Centaur Rootcaster deals combat damage to a player, you may search your library for a basic land card and put that card onto the battlefield tapped. If you do, shuffle your library.",2,2
Perilous Voyage,914,2,Instant,None,"Return target nonland permanent you don't control to its owner's hand. If its converted mana cost was 2 or less, scry 2.",-999,-999
Razaketh's Rite,915,5,Sorcery,None,"Search your library for a card and put that card into your hand. Then shuffle your library. Cycling {B} ({B}, Discard this card: Draw a card.)",-999,-999
One with the Stars,916,4,Enchantment,Aura,"Enchant creature or enchantment Enchanted permanent is an enchantment and loses all other card types. (It still has its abilities, but it's no longer a creature.)",-999,-999
Roar of the Crowd,917,4,Sorcery,None,Choose a creature type. Roar of the Crowd deals damage to any target equal to the number of permanents you control of the chosen type.,-999,-999
Zulaport Enforcer,918,1,Creature,HumanWarrior,Level up {4} ({4}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-2 3/3 LEVEL 3+ 5/5 Zulaport Enforcer can't be blocked except by black creatures.,1,1
Gisa's Bidding,919,4,Sorcery,None,"Create two 2/2 black Zombie creature tokens. Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",-999,-999
Penumbra Kavu,920,5,Creature,Kavu,"When Penumbra Kavu dies, create a 3/3 black Kavu creature token.",3,3
Identity Crisis,921,6,Sorcery,None,Exile all cards from target player's hand and graveyard.,-999,-999
Thran Lens,922,2,Artifact,None,All permanents are colorless.,-999,-999
Psychotic Episode,923,3,Sorcery,None,"Target player reveals their hand and the top card of their library. You choose a card revealed this way. That player puts the chosen card on the bottom of their library. Madness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",-999,-999
Wicker Warcrawler,924,5,ArtifactCreature,Scarecrow,"Whenever Wicker Warcrawler attacks or blocks, put a -1/-1 counter on it at end of combat.",6,6
Pale Bears,925,3,Creature,Bear,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),2,2
Savage Surge,926,2,Instant,None,Target creature gets +2/+2 until end of turn. Untap that creature.,-999,-999
